"id1","id2","id3","id31","id4","id41","hhmid","HHMID1","s10aiv_a31","s10aiv_a32","s10aiv_a33","s10aiv_a341i","s10aiv_a341ii","s10aiv_a341iii","s10aiv_a342i","s10aiv_a342ii","s10aiv_a342iii","s10aiv_a343i","s10aiv_a343ii","s10aiv_a343iii","s10aiv_a351i","s10aiv_a351ii","s10aiv_a351iii","s10aiv_a352i","s10aiv_a352ii","s10aiv_a352iii","s10aiv_a353i","s10aiv_a353ii","s10aiv_a353iii","s10aiv_a36i","s10aiv_a36ii","s10aiv_a37i","s10aiv_a37ii","s10aiv_a38","s10aiv_a39i","s10aiv_a39ii","s10aiv_a40i","s10aiv_a40ii","s10aiv_a41","uniquehhmid","hhno"
3,1,72,"072",5,"005",9,"09",10,10,10,,,,,,,,,,,,,"INVEST INTO BUSINESS",100,,,,,3,,6,,2,5,,6,,2,"07200509",103072005
5,67,153,"153",13,"013",2,"02",,,,,,,,,,,,,"INVEST IN FARM",40,,"BUY FRIDGE",30,,"BUY CEMENT",30,,1,,2,,1,3,,4,,1,"15301302",105153013
5,9,163,"163",11,"011",1,"01",10,10,9,,,,,,,,,,,,,,,,,,,2,,4,,2,5,,7,,2,"16301101",105163011
8,147,273,"273",56,"056",2,"02",10,10,10,,,,,,,,,,"BUY FOODSTUFF",50,,"START A BUSINESS",50,,,,,,,,,,,,,,,"27305602",108273056
6,92,195,"195",232,"232",1,"01",10,10,10,,,,,,,,,,"START COSMETICS BUSINESS",100,,,,,,,,,,,,,,,,,,"19523201",106195232
5,9,162,"162",8,"008",1,"01",4,5,7,,,,,,,,,,"BUILD A HOUSE",100,0,,,,,,,3,0,5,0,2,8,0,6,0,2,"16200801",105162008
6,99,200,"200",15,"015",3,"03",10,10,10,,,,,,,,,,"BUY DRESS",20,,"BUY BOOKS",30,,"SAVE",50,,3,,3,,2,3,,5,,2,"20001503",106200015
8,140,293,"293",11,"011",2,"02",10,10,,,,,,,,,,,"START BUSINESS",100,,,,,,,,1,,2,,2,2,,2,,1,"29301102",108293011
9,156,319,"319",16,"016",2,"02",10,10,,,,,,,,,,,"BOWLS",30,,"TRAVELING BAG",30,,"COLTH",40,,5,,7,,1,7,,10,,1,"31901602",109319016
6,92,196,"196",5,"005",2,"02",,,10,,,,,,,,,,"DAILY USAGE",100,0,,,,,,,,,,,,,,,,,"19600502",106196005
6,16,235,"235",158,"158",1,"01",,,,,,,,,,,,,"CHEMICALS",50,,"CLOTHES",30,,"SCH. FEES",20,,3,,6,,2,4,,7,,2,"23515801",106235158
4,62,118,"118",17,"017",1,"01",9,9,9,,,,,,,,,,"FOR CHILDREN'S SCH. FEES",40,,"BUY A SPRAYING MACHINE",30,,"HELP WIFE BUSINESS",30,,10,,20,,2,20,,40,,2,"11801701",104118017
7,126,271,"271",24,"024",1,"01",10,10,10,,,,,,,,,,"FARM",30,,"MOTOR CYCLE",40,,"DAILY CONSUMPTION",30,,5,,10,,2,5,,10,,2,"27102401",107271024
4,60,113,"113",25,"025",2,"02",9,9,7,,,,,,,,,,"CHILDREN EDUCATION",100,,,,,,,,3,,5,,2,5,,10,,2,"11302502",104113025
4,51,127,"127",25,"025",2,"02",10,9,8,,,,,,,,,,"HELP WIFE'S TRADE",100,0,,,,,,,,,,,,5,0,10,0,2,"12702502",104127025
10,166,335,"335",3,"003",3,"03",10,10,10,,,,,,,,,,"SCHOOL UNIFORMS",20,,"SCHOOL BAG",20,,"STORY BOOKS",60,,,,,,,,,,,,"33500303",110335003
7,155,269,"269",44,"044",1,"01",10,10,10,,,,,,,,,,"SUPPORT FARM ACT",40,,"HOUSE UP KEEP",40,,"POCKET MONEY FOR SELF",20,,3,,3,,1,5,,5,,1,"26904401",107269044
5,67,153,"153",25,"025",1,"01",,,,,,,,,,,,,"INVEST IN TRADE",100,,,,,,,,2,,3,,2,4,,6,,2,"15302501",105153025
6,92,196,"196",16,"016",1,"01",10,10,10,,,,,,,,,,"CATER FOR MY WARDS SCHOOL",30,0,"EXPAND MY ENT.",70,0,,,,,,,,,,,,,,"19601601",106196016
8,142,277,"277",11,"011",5,"05",10,10,10,,,,,,,,,,"FARM INPUTS",100,0,,,,,,,,,,,,1,0,3,0,1,"27701105",108277011
5,7,155,"155",1,"001",4,"04",10,10,9,,,,,,,,,,"PERSONAL UPKEEP",100,,,,,,,,3,,3,,2,10,,20,,2,"15500104",105155001
4,60,112,"112",63,"063",1,"01",6,6,8,,,,,,,,,,"HAIRDRESSING",100,,,,,,,,5,,10,,2,10,,20,,2,"11206301",104112063
4,60,110,"110",12,"012",1,"01",,7,8,,,,,,,,,,"INVEST IN FARM",100,,,,,,,,5,,5,,1,7,,10,,1,"11001201",104110012
5,14,173,"173",5,"005",3,"03",10,7,8,,,,,,,,,,"PERSONAL UPKEEP",100,,,,,,,,10,,40,,2,2,,5,,2,"17300503",105173005
2,20,48,"048",54,"054",1,"01",10,10,10,,,,,,,,,,"CHILD'S EDUCATION",50,0,"BUSINESS",50,0,,,,2,0,3,,2,,,,,,"04805401",102048054
4,55,122,"122",18,"018",1,"01",10,9,7,,,,,,,,,,"FOR FARMING",100,,,,,,,,5,,7,,2,12,,15,,2,"12201801",104122018
5,67,152,"152",44,"044",2,"02",10,8,6,,,,,,,,,,"TRADE",100,,,,,,,,2,50,3,0,1,3,50,5,0,1,"15204402",105152044
6,93,194,"194",1,"001",1,"01",10,10,10,,,,,,,,,,"BUILDING",100,,,,,,,,4,,5,,2,7,,8,,2,"19400101",106194001
6,108,229,"229",13,"013",4,"04",10,10,10,,,,,,,,,,"CONSUMPTION",100,,,,,,,,1,,2,,2,3,,5,,2,"22901304",106229013
5,14,168,"168",67,"067",1,"01",10,10,10,,,,,,,,,,"INVEST IN TRADE",100,,,,,,,,5,,5,,2,10,,15,,2,"16806701",105168067
5,69,135,"135",37,"037",3,"03",10,10,8,,,,,,,,,,"TRADE",100,,,,,,,,2,50,3,50,1,3,,5,,1,"13503703",105135037
5,82,296,"296",1,"001",2,"02",10,10,10,,,,,,,,,,"FOOD",30,,"SHEEP",70,,,,,3,,4,,2,4,,4,,2,"29600102",108296001
4,3,102,"102",21,"021",2,"02",10,10,10,,,,,,,,,,"SAVINGS",100,,,,,,,,6,,7,,2,8,,10,,2,"10202102",104102021
8,10,299,"299",40,"040",2,"02",10,10,10,,,,,,,,,,"SAVE",100,,,,,,,,2,,4,,1,3,,5,,1,"29904002",108299040
6,109,232,"232",81,"081",3,"03",10,10,,,,,,,,,,,"FARM",60,,"SAVE",40,,,,,1,,2,,1,2,,4,,1,"23208103",106232081
1,8,15,"015",9,"009",1,"01",,10,10,,,,,,,,,,"HIRE LABOURERS TO WEED MY FARM",60,,"POCKET MONEY",40,,,,,4,,5,,1,,,,,,"01500901",101015009
1,1,31,"031",74,"074",1,"01",9,9,9,,,,,,,,,,"FARMING",60,,"FARM INPUTS",20,,"HOUSE KEEPING MONEY",20,,,,,,,,,,,2,"03107401",101031074
8,137,287,"287",2,"002",2,"02",10,10,10,,,,,,,,,,"FERTILIZER",100,,,,,,,,3,,5,,2,,,,,,"28700202",108287002
4,49,123,"123",35,"035",1,"01",10,9,7,,,,,,,,,,"ELECTRICAL SHOP",100,0,,,,,,,,,,,,5,,10,,1,"12303501",104123035
1,13,10,"010",40,"040",1,"01",10,10,10,,,,,,,,,,"CHILDREN'S FEES",40,,"HOUSEKEEPING MONEY",40,,"UTILITIES BILLS",20,,,,,,,5,,8,,2,"01004001",101010040
5,69,134,"134",46,"046",3,"03",10,10,9,,,,,,,,,,"CLOTHS",20,,"SHOES",20,,"DAILY CONSUMPTION",,,1,50,2,,1,2,50,2,50,1,"13404603",105134046
2,2,37,"037",2,"002",3,"03",10,10,10,,,,,,,,,,"1",50,,"3",28,,"1",22,,1,,2,,2,,,,,,"03700203",102037002
6,110,227,"227",116,"116",1,"01",10,10,10,,,,,,,,,,"PAY DEBT",100,,,,,,,,1,,2,,2,2,,4,,2,"22711601",106227116
5,69,134,"134",36,"036",1,"01",8,8,8,,,,,,,,,,"START TRADE",100,,,,,,,,2,,3,,1,2,,3,,1,"13403601",105134036
9,157,316,"316",25,"025",2,"02",10,10,10,,,,,,,,,,"HEALTH CARE",50,,"FOODSTUFF",50,,,,,,,,,,,,,,,"31602502",109316025
2,31,40,"040",38,"038",2,"02",10,10,10,,,,,,,,,,"START RETAIL ENTERPRISE",100,,,,,,,,4,,4,,1,,,,,,"04003802",102040038
4,60,110,"110",22,"022",1,"01",10,10,8,,,,,,,,,,"SAVINGS",100,,,,,,,,6,,10,,2,12,,20,,2,"11002201",104110022
5,10,164,"164",35,"035",1,"01",10,10,10,,,,,,,,,,"START TRADING",75,,"AGRICULTURE",25,,,,,5,,10,,2,10,,15,,2,"16403501",105164035
8,140,291,"291",39,"039",1,"01",10,10,10,,,,,,,,,,"ROOFING SHEET",100,,,,,,,,2,,3,,2,3,,4,,2,"29103901",108291039
3,1,81,"081",4,"004",1,"01",10,10,10,,,,,,,,,,"2",100,,,,,,,,,,,,,3,,5,,2,"08100401",103081004
8,142,277,"277",28,"028",1,"01",5,5,5,,,,,,,,,,"FARMING",100,0,,,,,,,,,,,,3,0,5,0,2,"27702801",108277028
4,60,111,"111",45,"045",1,"01",10,10,9,,,,,,,,,,"HEALTH CARE",100,,,,,,,,3,,5,,2,6,,11,,2,"11104501",104111045
4,60,111,"111",36,"036",1,"01",8,9,10,,,,,,,,,,"FARMING",100,,,,,,,,6,,8,,2,10,,15,,2,"11103601",104111036
7,112,243,"243",46,"046",2,"02",10,10,10,,,,,,,,,,"START A BUSINESS",70,,"FOR HH CONSUMPTION",30,,,,,3,,4,50,2,,,,,,"24304602",107243046
5,7,155,"155",18,"018",2,"02",10,10,10,,,,,,,,,,"INVEST IN BUSINESS",100,,,,,,,,10,,20,,2,50,,70,,2,"15501802",105155018
5,10,164,"164",21,"021",4,"04",10,10,10,,,,,,,,,,"EDUCATIONAL NEEDS",100,,,,,,,,5,,10,,3,20,,6,,2,"16402104",105164021
4,51,127,"127",41,"041",3,"03",10,10,10,,,,,,,,,,"START A BUSINESS",70,0,"BUY A CELL PHONE",30,0,,,,,,,,,7,,15,,1,"12704103",104127041
6,1,179,"179",56,"056",1,"01",10,10,10,,,,,,,,,,,,,,,,,,,2,50,4,,2,2,50,4,,2,"17905601",106179056
4,58,130,"130",18,"018",1,"01",10,10,,,,,,,,,,,"FARMING",100,,,,,,,,,,,,,5,,7,,2,"13001801",104130018
6,92,195,"195",12,"012",1,"01",10,10,10,,,,,,,,,,"START A BUSINESS",100,,,,,,,,,,,,,,,,,,"19501201",106195012
3,1,76,"076",45,"045",1,"01",10,10,5,,,,,,,,,,"UTILITY BILLS",50,,"FOOD IN THE HOUSE",50,,,,,5,,6,,2,5,,6,,2,"07604501",103076045
6,102,214,"214",16,"016",7,"07",10,10,10,,,,,,,,,,"FEES",50,,"SAVE",20,,"BUY CLOTHS",30,,2,,5,,2,5,,5,,2,"21401607",106214016
4,60,111,"111",7,"007",2,"02",,5,4,,,,,,,,,,"INVEST IN HH FARM",100,,,,,,,,3,,4,,2,5,,10,,2,"11100702",104111007
8,140,291,"291",39,"039",2,"02",10,10,10,,,,,,,,,,"START BUSINESS",100,,,,,,,,1,,1,,1,2,,2,,1,"29103902",108291039
8,140,292,"292",3,"003",2,"02",10,10,10,,,,,,,,,,"GROUNDNUT",100,0,,,,,,,1,50,2,0,2,2,0,4,0,2,"29200302",108292003
5,7,155,"155",21,"021",1,"01",6,7,8,,,,,,,,,,"INVEST IN AGRICULTURE",100,,,,,,,,10,,10,,1,5,,5,,1,"15502101",105155021
4,58,132,"132",29,"029",2,"02",10,10,10,,,,,,,,,,"START FISHING BUSINESS",100,,,,,,,,,,,,,5,,10,,1,"13202902",104132029
6,109,232,"232",82,"082",3,"03",10,10,10,,,,,,,,,,"TRADE",60,,"FARMING",40,,,,,1,,2,,1,2,,4,,1,"23208203",106232082
7,117,253,"253",19,"019",4,"04",10,10,10,,,,,,,,,,"INVEST IN EDUCATION",60,,"SUPPORT PARENT",30,,"BUY THINGS FOR SELF",10,,2,,3,,1,3,,5,,1,"25301904",107253019
4,7,119,"119",31,"031",2,"02",9,10,8,,,,,,,,,,"XMASS CLOTHES",30,,"START A BUSINESS",70,,,,,4,,5,,2,5,,10,,1,"11903102",104119031
7,128,252,"252",30,"030",1,"01",10,10,10,,,,,,,,,,"BUY AGRO CHEMICALS",50,,"FOR HOUSEHOLD CONSUMPTION",50,,,,,,,,,,10,,20,,,"25203001",107252030
4,49,120,"120",1,"001",2,"02",10,9,9,,,,,,,,,,"START TRADING",100,,,,,,,,,,,,,5,,10,,1,"12000102",104120001
3,43,93,"093",38,"038",2,"02",10,10,10,,,,,,,,,,"INVEST IN BUSINESS",100,,,,,,,,,,,,,2,,5,,2,"09303802",103093038
7,112,242,"242",71,"071",2,"02",10,10,10,,,,,,,,,,"START A TRADE",50,,"FOR CHILDREN'S EDUCATION",50,,,,,,,,,,10,,20,,2,"24207102",107242071
5,7,155,"155",24,"024",1,"01",,,10,,,,,,,,,,"CONSTRUCT A BOREHOLE",100,,,,,,,,5,,10,,2,3,,8,,2,"15502401",105155024
4,6,115,"115",23,"023",1,"01",7,8,10,,,,,,,,,,"EDUCATION",100,,,,,,,,3,,5,,2,4,,6,,2,"11502301",104115023
4,49,123,"123",9,"009",2,"02",,10,10,,,,,,,,,,"FARMING",100,0,,,,,,,,,,,,3,,5,,2,"12300902",104123009
3,1,68,"068",21,"021",2,"02",10,10,5,,,,,,,,,,"DAILY FOOD CONSUMPTION",100,,,,,,,,2,,3,,2,4,,4,,2,"06802102",103068021
