"id1","id2","id3","id4","entno","s5d_33i","s5d_33ii","s5d_33iii","s5d_33iv","s5d_34i","s5d_34ii","s5d_34iii","s5d_34iv","s5d_35i","s5d_35ii","s5d_35iii","s5d_35iv","s5d_36i","s5d_36ii","s5d_36iii","s5d_36iv","s5d_37i","s5d_37ii","s5d_37iii","s5d_37iv","s5d_38i","s5d_38ii","headage","hhsize","urbrur","hhweight","hhno"
1,2,7,82,1,,,,,,,,,,,,,,,,,,,,,,,37,3,2,731.485961914063,101007082
1,1,8,4,1,"PHONE UNIT",1254,17,,,,,,,,,,,,,,,,,,,,27,2,2,1288.17175292969,101008004
1,1,8,14,1,,,,,,,,,,,,,,,,,,,,,,,48,4,2,1288.17175292969,101008014
1,1,8,19,1,,,,,,,,,,,,,,,,,,,,,,,55,5,2,1288.17175292969,101008019
1,1,8,22,1,,,,,,,,,,,,,,,,,,,,,,,35,5,2,1288.17175292969,101008022
1,1,8,44,1,,,,,,,,,,,,,,,,,,,,,,,35,6,2,1288.17175292969,101008044
1,1,8,47,1,,,,,,,,,,,,,,,,,,,,,,,43,2,2,1288.17175292969,101008047
1,1,8,67,1,,,,,,,,,,,,,,,,,,,,,,,62,9,2,1288.17175292969,101008067
1,1,8,74,1,,,,,,,,,,,,,,,,,,,,,,,48,4,2,1288.17175292969,101008074
1,13,9,61,2,"MTN",1254,66,,"TIGO",1254,66,,"VODAFONE",1254,72,,"VODA",1254,60,,"ZAIN",1254,40,,120,,71,6,1,848.908752441406,101009061
1,13,9,61,1,,,,,,,,,,,,,,,,,,,,,,,71,6,1,848.908752441406,101009061
1,13,9,68,1,,,,,,,,,,,,,,,,,,,,,,,59,4,1,848.908752441406,101009068
1,13,9,136,1,"TROUSER MATERIAL",1318,500,,"SHIRTS",995,240,,,,,,,,,,,,,,,,22,1,1,848.908752441406,101009136
1,13,9,191,1,,,,,,,,,,,,,,,,,,,,,,,33,3,1,848.908752441406,101009191
1,13,9,206,1,"FRIDGES",1316,2000,,"TV",1217,2700,,"IRON",1311,1000,,"BLENDER",1317,2400,,,,,,,,33,1,1,848.908752441406,101009206
1,13,9,206,2,,,,,,,,,,,,,,,,,,,,,,,33,1,1,848.908752441406,101009206
1,13,9,227,1,"SPANNERS",1319,100,,"SHOVELS",1008,,,"NAILS",749,100,,"HEAD PANS",1320,50,,"CARPENTER SAWS",1321,40,,400,,51,5,1,848.908752441406,101009227
1,13,9,235,1,,,,,,,,,,,,,,,,,,,,,,,52,7,1,848.908752441406,101009235
1,13,9,258,2,,,,,,,,,,,,,,,,,,,,,,,43,6,1,848.908752441406,101009258
1,13,9,258,1,,,,,,,,,,,,,,,,,,,,,,,43,6,1,848.908752441406,101009258
1,13,10,64,2,"MALTA GUINESS",1043,28,80,"STAR BEER",21,14,40,"CASTLE",21,10,80,"RICE",928,31,,"SOAP",356,18,,153,0,28,3,1,851.604248046875,101010064
1,13,10,64,1,,,,,,,,,,,,,,,,,,,,,,,28,3,1,851.604248046875,101010064
1,13,10,88,1,"SACHET WATER",1242,8,0,,,,,,,,,,,,,,,,,,,53,5,1,851.604248046875,101010088
1,13,10,132,1,,,,,,,,,,,,,,,,,,,,,,,36,4,1,851.604248046875,101010132
1,13,10,150,1,"BANANA",1261,1,50,,,,,,,,,,,,,,,,,,,47,4,1,851.604248046875,101010150
1,13,10,175,1,,,,,,,,,,,,,,,,,,,,,,,32,2,1,851.604248046875,101010175
1,13,11,6,1,,,,,,,,,,,,,,,,,,,,,,,47,2,1,1133.75842285156,101011006
1,13,11,19,1,"SACHET WATER",,,80,,,,,,,,,,,,,,,,,,,47,2,1,1133.75842285156,101011019
1,13,11,28,1,"RICE",,33,,"SUGAR",,10,,"MILK",,22,,"T. ROLL",,5,50,"PURE WATER",,19,50,100,,67,2,1,1133.75842285156,101011028
1,13,11,44,1,"SACHET WATER",1242,7,,"RICE",1244,30,,"BISCUIT",121,4,5,"SOAP",356,4,3,"GARI",489,2,,30,,55,5,1,1133.75842285156,101011044
1,13,11,48,1,"UNDERWEAR",80,80,,,92,100,,,,,,,,,,,,,,,,35,2,1,1133.75842285156,101011048
1,13,11,58,1,,,,,,,,,,,,,,,,,,,,,,,40,4,1,1133.75842285156,101011058
1,13,11,85,1,"COWBELL PRODUCTS",1249,5,,"GARI",489,1,50,"SUGAR",1088,1,,"LOCAL SOAP",1037,2,,"GROUNDNUT",1240,,,7,,46,5,1,1133.75842285156,101011085
1,13,11,146,1,,,,,,,,,,,,,,,,,,,,,,,57,5,1,1133.75842285156,101011146
1,13,11,172,1,,1043,43,20,,21,78,,,,,,,,,,,,,,,,32,2,1,1133.75842285156,101011172
1,13,12,17,1,"LACE",289,,,"LINEN",655,100,,,,,,,,,,,,,,,,43,5,1,327.287933349609,101012017
1,13,12,38,1,"MESH",1216,500,,"WEAVE ON",1216,400,,"WIGS",1216,300,,,,,,,,,,,,52,4,1,327.287933349609,101012038
1,13,12,51,1,"FISH",435,,,,,,,,,,,,,,,,,,,,,64,3,1,327.287933349609,101012051
1,13,12,55,1,,,,,,,,,,,,,,,,,,,,,,,64,4,1,327.287933349609,101012055
1,13,12,94,1,,,,,,,,,,,,,,,,,,,,,,,64,3,1,327.287933349609,101012094
1,8,13,8,1,,,,,,,,,,,,,,,,,,,,,,,59,3,2,851.333557128906,101013008
1,8,13,36,1,,,,,,,,,,,,,,,,,,,,,,,52,7,2,851.333557128906,101013036
1,8,13,87,1,"KEROSENE",,0,,,,,,,,,,,,,,,,,,,,95,5,2,851.333557128906,101013087
1,8,14,11,1,,,,,,,,,,,,,,,,,,,,,,,34,3,2,947.073608398438,101014011
1,8,14,15,1,,,,,,,,,,,,,,,,,,,,,,,52,6,2,947.073608398438,101014015
1,8,14,15,2,,,,,,,,,,,,,,,,,,,,,,,52,6,2,947.073608398438,101014015
1,8,14,36,1,,,,,,,,,,,,,,,,,,,,,,,29,1,2,947.073608398438,101014036
1,8,14,46,1,,,,,,,,,,,,,,,,,,,,,,,61,7,2,947.073608398438,101014046
1,8,14,57,1,,,,,,,,,,,,,,,,,,,,,,,53,8,2,947.073608398438,101014057
1,8,14,69,1,,,,,,,,,,,,,,,,,,,,,,,27,3,2,947.073608398438,101014069
1,8,14,69,2,,,,,,,,,,,,,,,,,,,,,,,27,3,2,947.073608398438,101014069
1,8,14,82,1,"RICE",1244,140,,"SARDINE",1224,10,,"TIN TOMATOES",1111,12,,"OIL",1248,10,,"MILK",1260,10,,40,,71,6,2,947.073608398438,101014082
1,8,14,113,1,,,,,,,,,,,,,,,,,,,,,,,29,1,2,947.073608398438,101014113
1,8,14,129,1,,,,,,,,,,,,,,,,,,,,,,,28,3,2,947.073608398438,101014129
1,8,14,129,2,,,,,,,,,,,,,,,,,,,,,,,28,3,2,947.073608398438,101014129
1,8,15,65,2,,,,,,,,,,,,,,,,,,,,,,,43,9,2,824.745727539063,101015065
1,8,15,65,1,,,,,,,,,,,,,,,,,,,,,,,43,9,2,824.745727539063,101015065
1,8,15,119,1,,19,150,,,21,63,,,1043,25,20,,,,,,,,,,,53,3,2,824.745727539063,101015119
1,8,15,120,1,,19,2,50,,,,,,,,,,,,,,,,,,,40,3,2,824.745727539063,101015120
1,8,15,188,1,"UNDERWEARS",1255,600,,,1032,150,,,,,,,,,,,,,,,,26,1,2,824.745727539063,101015188
1,8,16,41,1,"OIL PALM",1329,,,,,,,,,,,,,,,,,,,,,37,5,2,724.570617675781,101016041
1,8,16,51,1,,,,,,,,,,,,,,,,,,,,,,,35,3,2,724.570617675781,101016051
1,8,16,51,2,,,,,,,,,,,,,,,,,,,,,,,35,3,2,724.570617675781,101016051
1,8,16,53,1,,,,,,,,,,,,,,,,,,,,,,,54,2,2,724.570617675781,101016053
1,8,16,144,1,,,,,,,,,,,,,,,,,,,,,,,33,5,2,724.570617675781,101016144
1,8,16,145,1,"ORANGES",1257,3,,,,,,,,,,,,,,,,,,,,20,2,2,724.570617675781,101016145
1,8,16,154,1,"GUINESS",21,86,40,"CASTLE",21,64,80,"COKE COLA",1237,35,60,"MALTA",1237,54,,"AKPETESHIE",19,54,,105,50,63,4,2,724.570617675781,101016154
1,8,16,217,1,"POWDERED PEPPER",822,10,,"PEPPER (FRESH)",1230,3,,"MAGGIE CUBE",1252,5,,"SALTED FISH",963,30,,"ONION",1227,5,,60,,44,5,2,724.570617675781,101016217
1,10,17,4,1,"GARI",489,20,,"KENKEY",614,14,,"BISCUITS",121,15,,"SOAP",,5,,"SUGAR",1089,15,50,60,,57,5,2,347.497741699219,101017004
1,10,17,31,1,"RICE",1244,16,,"BREAD",151,20,,,,,,,,,,,,,,,,27,4,2,347.497741699219,101017031
1,10,18,11,1,,,,,,,,,,,,,,,,,,,,,,,22,1,1,286.448699951172,101018011
1,10,18,14,1,"BISCUIT",121,20,,"MILK",1260,40,,"SOAP",356,50,,"SUGAR",1088,50,,"GARI",489,30,,50,,70,7,1,286.448699951172,101018014
1,10,18,27,1,"BICYCLE PUMP",1338,40,,"FOOTBALL",1337,45,,"SOAP",356,35,,"SUGAR",1088,80,,"BISCUITS",121,25,,800,,27,3,1,286.448699951172,101018027
1,10,18,33,1,"SOAP(ANAGO)",1037,80,,"TOFFEE",1114,5,,,,,,,,,,,,,,,,50,4,1,286.448699951172,101018033
1,10,18,43,1,"MAIZE",1273,50,,"GROUNDNUT",1240,40,,,,,,,,,,,,,,,,46,3,1,286.448699951172,101018043
1,10,18,58,1,"ONION",1227,20,,"TOMATOES",1228,30,,"PEPPER",822,15,,"GARDEN EGGS",1215,,,,,,,,,46,3,1,286.448699951172,101018058
1,10,18,59,1,"ONIONS",1227,65,,,,,,,,,,,,,,,,,,,,63,1,1,286.448699951172,101018059
1,10,19,4,1,"CASSAVA",1287,15,,,,,,,,,,,,,,,,,,,,44,8,1,615.303466796875,101019004
1,10,19,5,1,"BANNANA",1261,3,,"PEAR",1326,4,,"EGGS",1233,6,,,,,,,,,,,,43,3,1,615.303466796875,101019005
1,10,19,10,1,"BANNANA",1261,30,,"PEAR",1326,20,,,,,,,,,,,,,,,,32,2,1,615.303466796875,101019010
1,10,19,17,1,,,,,,,,,,,,,,,,,,,,,,,40,5,1,615.303466796875,101019017
1,10,19,20,1,,,,,,,,,,,,,,,,,,,,,,,57,5,1,615.303466796875,101019020
1,10,20,6,1,"CHARCOAL",257,184,,"SACHET WATER",1242,5,,,,,,,,,,,,,,,,69,1,2,619.872131347656,101020006
1,10,20,21,1,"BREAD",151,80,,"WATER",1242,12,,,,,,,,,,,,,,,,42,3,2,619.872131347656,101020021
1,10,20,26,1,,,,,,,,,,,,,,,,,,,,,,,72,1,2,619.872131347656,101020026
1,10,20,37,1,,,,,,,,,,,,,,,,,,,,,,,32,2,2,619.872131347656,101020037
1,10,21,7,1,,,,,,,,,,,,,,,,,,,,,,,30,5,2,404.568176269531,101021007
1,10,21,68,1,,,,,,,,,,,,,,,,,,,,,,,59,3,2,404.568176269531,101021068
1,10,21,69,1,"ALCOHOLIC BEVERAGES",21,200,,"SOFT DRINKS",1043,60,,"APETESHIE",19,20,,,,,,,,,,,,45,6,2,404.568176269531,101021069
1,10,21,69,2,,,,,,,,,,,,,,,,,,,,,,,45,6,2,404.568176269531,101021069
1,16,23,13,1,,,,,,,,,,,,,,,,,,,,,,,50,5,2,556.661437988281,101023013
1,16,23,31,1,,,,,,,,,,,,,,,,,,,,,,,36,5,2,556.661437988281,101023031
1,17,24,28,1,,,,,,,,,,,,,,,,,,,,,,,33,3,2,384.929504394531,101024028
1,17,24,39,1,,,,,,,,,,,,,,,,,,,,,,,52,6,2,384.929504394531,101024039
1,17,24,39,2,"GROUNDNUT",1240,1,,"KENKEY",614,1,50,"GARI",489,1,,"SUGAR",1088,2,,"BREAD",151,,,2,,52,6,2,384.929504394531,101024039
1,2,26,10,1,"SOAPS",1037,100,,,,,,,,,,,,,,,,,,,,30,5,2,233.720748901367,101026010
1,2,26,17,1,"SOFT DRINKS",1043,15,,"ALCOHOLIC BEVERAGES",21,20,,,,,,,,,,,,,,,,65,1,2,233.720748901367,101026017
1,2,26,23,1,"RICE (POLISH)",1244,50,,"SOFT DRINKS",1237,250,,"ALCOHOLIC BEVERAGES",21,50,,"SUGAR",1088,180,,"TIN TOMATOES",1111,120,,800,,42,7,2,233.720748901367,101026023
1,2,26,24,1,"SALTED FISH",963,5,,"SMOKED FISH",1035,5,,,,,,,,,,,,,,,,31,3,2,233.720748901367,101026024
1,2,26,29,1,"TIN TOMATOES",1111,20,,"RICE",,150,,"SOAP",1037,60,,"CANNED FISH",1224,40,,"SUGAR",1088,15,,95,,40,4,2,233.720748901367,101026029
1,10,27,10,1,"ALCOHOLIC BEVERAGES",21,140,,,,,,,,,,,,,,,,,,,,45,2,2,329.952758789063,101027010
1,2,28,26,1,"SUGAR",1088,60,,"GEISHA FISH(TIN)",,20,,"SANDALS",967,30,,"FRYTOL",,20,,"TIN TOMATOES",1111,20,,3000,,40,7,2,440.690307617188,101028026
1,2,28,31,1,"SHOE",1002,500,,"BAG",,250,,"CLOTH",289,150,,,,,,,,,,,,39,1,2,440.690307617188,101028031
1,2,28,32,1,"GARI",489,5,,"SUGAR",1088,5,,"TOFFEE",114,2,,"SALT",962,2,,"GROUNDNUT",520,3,,14,,85,1,2,440.690307617188,101028032
1,2,28,43,1,,,,,,,,,,,,,,,,,,,,,,,44,1,2,440.690307617188,101028043
1,2,28,44,1,,,,,,,,,,,,,,,,,,,,,,,36,5,2,440.690307617188,101028044
1,12,29,2,1,"AKPETESHIE",19,35,0,"FANTA",1043,20,0,"MANDINGO BITTERS",21,15,0,"CASTLE BRIDGE",21,10,0,"ALOMO GIN BITTERS",21,16,0,550,0,26,4,1,673.996948242188,101029002
1,12,29,2,2,,,,,,,,,,,,,,,,,,,,,,,26,4,1,673.996948242188,101029002
1,12,29,8,1,,,,,,,,,,,,,,,,,,,,,,,25,3,1,673.996948242188,101029008
1,12,29,20,1,,,,,,,,,,,,,,,,,,,,,,,24,2,1,673.996948242188,101029020
1,12,29,29,1,"ONION",,200,0,"GROUND NUT",5892,60,0,"BEANS",5423,100,0,"PEPPER",7512,110,0,"PALM OIL",42241,60,0,150,0,40,4,1,673.996948242188,101029029
1,12,29,39,1,"FISH",435,78,0,,,,,,,,,,,,,,,,,,,44,4,1,673.996948242188,101029039
1,12,29,40,1,,,,,,,,,,,,,,,,,,,,,,,46,1,1,673.996948242188,101029040
1,12,30,30,1,,,,,,,,,,,,,,,,,,,,,,,52,1,2,731.994079589844,101030030
1,12,30,63,1,,,,,,,,,,,,,,,,,,,,,,,36,1,2,731.994079589844,101030063
1,1,31,1,1,"CLOTHES",286,300,,"LACE",289,200,,"MATERIALS",289,300,,,,,,,,,,,,47,6,1,576.986328125,101031001
1,1,31,5,1,,,,,,,,,,,,,,,,,,,,,,,27,3,1,576.986328125,101031005
1,1,31,15,1,,,,,,,,,,,,,,,,,,,,,,,65,2,1,576.986328125,101031015
1,1,31,21,1,,,,,,,,,,,,,,,,,,,,,,,30,3,1,576.986328125,101031021
1,1,31,38,1,,,,,,,,,,,,,,,,,,,,,,,50,4,1,576.986328125,101031038
1,1,31,47,1,,,,,,,,,,,,,,,,,,,,,,,49,3,1,576.986328125,101031047
1,1,31,70,1,,,,,,,,,,,,,,,,,,,,,,,42,5,1,576.986328125,101031070
1,1,31,73,1,,,,,,,,,,,,,,,,,,,,,,,49,6,1,576.986328125,101031073
1,1,31,74,1,,,,,,,,,,,,,,,,,,,,,,,42,1,1,576.986328125,101031074
1,1,31,84,1,,,,,,,,,,,,,,,,,,,,,,,56,6,1,576.986328125,101031084
2,2,32,2,1,"FIREWOOD",433,75,,,,,,,,,,,,,,,,,,,,96,3,1,560.573181152344,102032002
2,2,32,5,1,"ICE WATER(SACHET)",1242,3,,,,,,,,,,,,,,,,,,,,55,5,1,560.573181152344,102032005
2,2,32,8,1,,,,,,,,,,,,,,,,,,,,,,,45,4,1,560.573181152344,102032008
2,2,32,10,1,"CHARCOAL",257,3,,,,,,,,,,,,,,,,,,,,45,7,1,560.573181152344,102032010
2,2,32,11,1,,,,,,,,,,,,,,,,,,,,,,,21,1,1,560.573181152344,102032011
2,2,32,14,1,,,,,,,,,,,,,,,,,,,,,,,82,2,1,560.573181152344,102032014
2,2,32,15,1,"PURE WATER",1242,4,,,,,,,,,,,,,,,,,,,,43,5,1,560.573181152344,102032015
2,2,32,18,1,,,,,,,,,,,,,,,,,,,,,,,52,3,1,560.573181152344,102032018
2,2,32,64,1,,,,,,,,,,,,,,,,,,,,,,,42,2,1,560.573181152344,102032064
2,2,32,64,2,,,,,,,,,,,,,,,,,,,,,,,42,2,1,560.573181152344,102032064
2,2,32,84,1,,,,,,,,,,,,,,,,,,,,,,,49,1,1,560.573181152344,102032084
2,2,33,10,1,"EAR RINGS",,50,,"CHAINS",,150,,,,,,,,,,,,,,,,43,6,1,422.4609375,102033010
2,2,33,12,1,,,,,,,,,,,,,,,,,,,,,,,45,6,1,422.4609375,102033012
2,2,33,12,2,,,223,,,,,,,,,,,,,,,,,,,,45,6,1,422.4609375,102033012
2,2,33,16,1,,,,,,,,,,,,,,,,,,,,,,,45,6,1,422.4609375,102033016
2,2,33,16,2,,,,,,,,,,,,,,,,,,,,,,,45,6,1,422.4609375,102033016
2,2,33,17,1,"TOMATOES",,4,,"PALM OIL",,5,,"PEPPER",,1,50,"ONION",,5,,"BEEF",,2,,7,,82,1,1,422.4609375,102033017
2,2,33,18,1,"VEGETABLE OIL",,20,,,,,,,,,,,,,,,,,,,,41,6,1,422.4609375,102033018
2,2,33,21,1,,,,,,,,,,,,,,,,,,,,,,,53,2,1,422.4609375,102033021
2,2,33,28,1,,,,,,,,,,,,,,,,,,,,,,,19,1,1,422.4609375,102033028
2,2,33,43,1,"CREDIT CARDS",,50,,,,,,,,,,,,,,,,,,,,23,1,1,422.4609375,102033043
2,2,33,71,1,"RICE",,30,,"EGG",,100,,"GROUNDNUT",,30,,"SUGAR",,20,,"COWBELL(POWDER)",,5,,10,,30,4,1,422.4609375,102033071
2,2,34,7,1,"SOAP",1037,30,,"GARI",489,30,,"TIN TOMATOES",1111,10,,,,,,,,,,,,44,4,1,768.058044433594,102034007
2,2,34,19,2,,,,,,,,,,,,,,,,,,,,,,,36,4,1,768.058044433594,102034019
2,2,34,19,1,,,,,,,,,,,,,,,,,,,,,,,36,4,1,768.058044433594,102034019
2,2,34,56,1,"SOAP",1037,10,,"THREAD",1251,5,,"TOILET ROLL",1112,10,,"MILK",1249,10,,"SARDINE",1224,5,,,,53,5,1,768.058044433594,102034056
2,2,34,73,1,,,,,,,,,,,,,,,,,,,,,,,27,3,1,768.058044433594,102034073
2,2,34,76,1,"CASSAVA",228,15,,"PALM NUT",1250,10,,"PLANTAIN",1226,50,,,,,,,,,,,,37,6,1,768.058044433594,102034076
2,2,34,90,1,"ONION",1227,5,,"PEPPER",822,10,,,,,,,,,,,,,,,,37,3,1,768.058044433594,102034090
2,2,34,117,2,"FRUITS",469,,,,,,,,,,,,,,,,,,,,,40,2,1,768.058044433594,102034117
2,2,34,117,1,"SHOES",997,1200,,,,,,,,,,,,,,,,,,,,40,2,1,768.058044433594,102034117
2,2,34,140,2,,,,,,,,,,,,,,,,,,,,,,,74,2,1,768.058044433594,102034140
2,2,34,140,1,,,,,,,,,,,,,,,,,,,,,,,74,2,1,768.058044433594,102034140
2,2,34,149,1,,,,,,,,,,,,,,,,,,,,,,,47,2,1,768.058044433594,102034149
2,2,34,150,1,,,,,,,,,,,,,,,,,,,,,,,34,4,1,768.058044433594,102034150
2,2,35,1,1,"TOMATOES",1228,5,,"VEGETABLE OIL",1248,22,,"ONION",1227,10,,"GARDEN EGGS",1215,5,,"EGG",1233,31,80,20,,53,6,1,274.323059082031,102035001
2,2,35,2,2,"CLOTHS",289,145,,,,,,,,,,,,,,,,,,,,35,2,1,274.323059082031,102035002
2,2,35,2,1,,,,,,,,,,,,,,,,,,,,,,,35,2,1,274.323059082031,102035002
2,2,35,14,1,"BEER",21,54,40,"GOLDER",21,73,,"GUINESS",21,223,50,"LOCAL GIN",21,,,,,,,,,50,3,1,274.323059082031,102035014
2,2,35,20,1,"PEPPER",1230,9,,"GARDEN EGGS",1215,5,,"ONIONS",1227,10,,"TOMATOES",1228,8,,"BEEF",1236,8,,,,35,4,1,274.323059082031,102035020
2,2,35,20,2,"TYRE(INNER)",1262,32,,"TYRE(OUTER)",1263,35,,"WRIM",1264,40,,"BREAK SHOES",1265,6,,"ROPE",1265,4,,,,35,4,1,274.323059082031,102035020
2,2,35,21,1,,,,,,,,,,,,,,,,,,,,,,,60,2,1,274.323059082031,102035021
2,2,35,27,1,"SANDALS",967,20,,"UNDERWEAR(PANTIES & BRA)",1255,150,,"TOYS",1223,160,,,,,,,,,,,,30,3,1,274.323059082031,102035027
2,2,35,28,2,,,,,,,,,,,,,,,,,,,,,,,57,6,1,274.323059082031,102035028
2,2,35,28,1,,,,,,,,,,,,,,,,,,,,,,,57,6,1,274.323059082031,102035028
2,2,35,44,1,,,,,,,,,,,,,,,,,,,,,,,71,1,1,274.323059082031,102035044
2,3,36,2,1,,,,,,,,,,,,,,,,,,,,,,,37,2,1,181.549270629883,102036002
2,3,36,6,1,,,,,,,,,,,,,,,,,,,,,,,55,6,1,181.549270629883,102036006
2,3,36,6,2,,,,,,,,,,,,,,,,,,,,,,,55,6,1,181.549270629883,102036006
